ID	Species	GSMID	Cell_line	Cell_type	Tissue_type	Factor	File
56279	Homo sapiens	GSM1533742	HEK293T	Epithelium	Embryonic Kidney	BRD1	56279_sort_peaks.narrowPeak.bed
56280	Homo sapiens	GSM1533743	HEK293T	Epithelium	Embryonic Kidney	BRD1	56280_sort_peaks.narrowPeak.bed
56281	Homo sapiens	GSM1533744	HEK293T	Epithelium	Embryonic Kidney	BRD1	56281_sort_peaks.narrowPeak.bed
56282	Homo sapiens	GSM1533745	HEK293T	Epithelium	Embryonic Kidney	BRD1	56282_sort_peaks.narrowPeak.bed
56284	Homo sapiens	GSM1540468	None	Keratinocyte	None	JUNB	56284_sort_peaks.narrowPeak.bed
56290	Homo sapiens	GSM1546366	None	Adipocyte	None	LMNA	56290_sort_peaks.narrowPeak.bed
56291	Homo sapiens	GSM1546367	None	Adipocyte	None	LMNA	56291_sort_peaks.narrowPeak.bed
56292	Homo sapiens	GSM1546368	None	Adipocyte	None	LMNA	56292_sort_peaks.narrowPeak.bed
56293	Homo sapiens	GSM1546369	None	Adipocyte	None	LMNA	56293_sort_peaks.narrowPeak.bed
56294	Homo sapiens	GSM1546370	None	Adipocyte	None	LMNA	56294_sort_peaks.narrowPeak.bed
56347	Homo sapiens	GSM1587895	MOLM-14	Myeloid Cell	None	POLR2A	56347_sort_peaks.narrowPeak.bed
56349	Homo sapiens	GSM1587897	MOLM-14	Myeloid Cell	None	POLR2A	56349_sort_peaks.narrowPeak.bed
56351	Homo sapiens	GSM1587899	MOLM-14	Myeloid Cell	None	CDK8	56351_sort_peaks.narrowPeak.bed
56353	Homo sapiens	GSM1587901	MOLM-14	Myeloid Cell	None	CDK8	56353_sort_peaks.narrowPeak.bed
56355	Homo sapiens	GSM1587903	MOLM-14	Myeloid Cell	None	MED1	56355_sort_peaks.narrowPeak.bed
56357	Homo sapiens	GSM1587905	MOLM-14	Myeloid Cell	None	BRD4	56357_sort_peaks.narrowPeak.bed
56359	Homo sapiens	GSM1587907	MOLM-14	Myeloid Cell	None	BRD4	56359_sort_peaks.narrowPeak.bed
56369	Homo sapiens	GSM1587917	SET2	Megakaryoblastic	Blood	CDK8	56369_sort_peaks.narrowPeak.bed
56371	Homo sapiens	GSM1587919	SET2	Megakaryoblastic	Blood	CDK8	56371_sort_peaks.narrowPeak.bed
56375	Homo sapiens	GSM1587923	MV4-11	Macrophage	Blood	CDK8	56375_sort_peaks.narrowPeak.bed
56379	Homo sapiens	GSM1587927	K562	Erythroblast	Bone Marrow	CDK8	56379_sort_peaks.narrowPeak.bed
56388	Homo sapiens	GSM1598218	None	None	Prostate	AR	56388_sort_peaks.narrowPeak.bed
56389	Homo sapiens	GSM1598219	None	None	Prostate	AR	56389_sort_peaks.narrowPeak.bed
56390	Homo sapiens	GSM1598220	None	None	Prostate	AR	56390_sort_peaks.narrowPeak.bed
